TGL; Prod. Nrm btr ; Prod.  Nrm Kg ; Prod. Crm btr ; Prod. Crm Kg ; Prod. Rtk btr ; Prod. Rtk Kg ; Prod. TTL Btr ; Prod. TTL Kg ; Jual Normal (Butir) ; Jual Normal (Kilo) ; Harga Normal per kilo ; Jual Crem (Butir) ; Jual Crem (Kilo) ; Harga Crem per kilo ; Jual Retak (Butir) ; Jual Retak (Kilo) ; Harga Retak per kilo ;Dibuang (Butir);Dibuang (Kilo); Total telur keluar (Butir) ; Total telur keluar (kilo) ;Sisa stock (Butir);Sisa stock (kilo);Audit (Butir); Audit (Kilo) ; Harga Pasar ; Total Pendapatan ;;;;;;;;;;;;;;;;;;
17/04/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
18/04/2026;;;;;;; -   ;;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
19/04/2026;;;;;;; -   ;;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
20/04/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
21/04/2026;;;;;;; -   ;;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
22/04/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
23/04/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
24/04/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
25/04/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
26/04/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
27/04/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
28/04/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
29/04/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
30/04/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
01/05/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
02/05/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
03/05/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
04/05/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
05/05/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
06/05/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
07/05/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
08/05/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
09/05/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
10/05/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
11/05/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
12/05/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
13/05/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
14/05/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;;;;;; Rp- ;;;;;;;;;;;;;;;;;;
15/05/2026; 1 ; 0,04 ;;;;; 1 ; 0,04 ;;;;;;;;;;;; -   ; -   ;1; 0,04 ;;;; Rp- ;;;;;;;;;;;;;;;;;;
16/05/2026; 1 ; 0,04 ;;;;; 1 ; 0,04 ;;;;;;;;;;;; -   ; -   ;2; 0,08 ;;;; Rp- ;;;;;;;;;;;;;;;;;;
17/05/2026; 1 ; 0,04 ;;;;; 1 ; 0,04 ;;;;;;;;;;;; -   ; -   ;3; 0,12 ;;;; Rp- ;;;;;;;;;;;;;;;;;;
18/05/2026; 1 ; 0,04 ;;;;; 1 ; 0,04 ;;;;;;;;;;;; -   ; -   ;4; 0,16 ;;;; Rp- ;;;;;;;;;;;;;;;;;;
19/05/2026;;;;;;; -   ; -   ;;;;;;;;;;;; -   ; -   ;4; 0,16 ;;;; Rp- ;;;;;;;;;;;;;;;;;;
20/05/2026; 2 ; 0,10 ;;;;; 2 ; 0,10 ;;;;;;;;;;;; -   ; -   ;6; 0,26 ;;;; Rp- ;;;;;;;;;;;;;;;;;;
21/05/2026; 3 ; 0,14 ;;;;; 3 ; 0,14 ;;;;;;;;;;;; -   ; -   ;9; 0,40 ;;;; Rp- ;;;;;;;;;;;;;;;;;;
22/05/2026; 3 ; 0,15 ;;;;; 3 ; 0,15 ;;;;;;;;;;;; -   ; -   ;12; 0,55 ;;;; Rp- ;;;;;;;;;;;;;;;;;;
23/05/2026; 7 ; 0,31 ;;; 1 ; 0,0 ; 8 ; 0,34 ;;;;;;;;;;;; -   ; -   ;20; 0,89 ;;;; Rp- ;;;;;;;;;;;;;;;;;;
24/05/2026; 9 ; 0,38 ;;;;; 9 ; 0,38 ;;;;;;;;;;;; -   ; -   ;29; 1,27 ;;;; Rp- ;;;;;;;;;;;;;;;;;;
