id,tanggal,kandang,user_input,data,created_at,updated_at
f50c31d9-173f-4551-ab10-0582bdcecbad,2026-06-24,TF 1,Saiful,"{""user"": ""Saiful"", ""pakan"": [{""kode"": ""324-AT"", ""jumlah"": 525}], ""catatan"": """", ""deplesi"": {""mati"": ""0"", ""afkir"": ""0"", ""total"": ""0""}, ""kandang"": ""TF 1"", ""tanggal"": ""2026-06-24"", ""produksi"": {""hdp"": ""94.39 %"", ""crem"": {""kilo"": ""1"", ""butir"": ""20""}, ""total"": {""kilo"": ""264.70"", ""butir"": ""4816""}, ""normal"": {""kilo"": ""263.3"", ""butir"": ""4785""}, ""ceplokan"": {""kilo"": ""0"", ""butir"": ""0""}, ""berat_rata"": ""55.0 g"", ""bentes_kering"": {""kilo"": ""0.4"", ""butir"": ""11""}}, ""air_liter"": ""1320"", ""kesehatan"": {""obat"": [], ""vaksin"": [], ""vitamin"": [{""nama"": ""Biogreen"", ""jumlah"": 150, ""satuan"": ""ml"", ""supplier"": ""PT SHS 2""}]}, ""sisa_ayam"": ""5102"", ""harga_pasar"": 18500, ""pct_deplesi"": ""0.00 %""}",2026-06-24 10:04:51.894273+00,2026-06-24 10:04:51.894273+00
e19af014-bda5-48a6-8fe0-f8268a1385f9,2026-06-23,TF 1,Afin,"{""user"": ""Afin"", ""pakan"": [{""kode"": ""324-AT"", ""jumlah"": 550}], ""catatan"": """", ""deplesi"": {""mati"": ""1"", ""afkir"": ""0"", ""total"": ""1""}, ""kandang"": ""TF 1"", ""tanggal"": ""2026-06-23"", ""produksi"": {""hdp"": ""93.83 %"", ""cream"": {""kilo"": ""0.6"", ""butir"": ""14""}, ""retak"": {""kilo"": ""0.6"", ""butir"": ""20""}, ""total"": {""kilo"": ""260.70"", ""butir"": ""4787""}, ""normal"": {""kilo"": ""259.5"", ""butir"": ""4753""}, ""berat_rata"": ""54.5 g""}, ""air_liter"": ""1385"", ""kesehatan"": {""obat"": [], ""vaksin"": [], ""vitamin"": [{""nama"": ""Biogreen"", ""jumlah"": 150, ""satuan"": ""ml"", ""supplier"": ""PT SHS 2""}]}, ""sisa_ayam"": ""5102"", ""harga_pasar"": 19000, ""pct_deplesi"": ""0.02 %""}",2026-06-23 09:06:18.798246+00,2026-06-23 09:06:18.798246+00
ffb37240-362a-4e94-b87a-06bc23e879a7,2026-06-22,TF 1,Saiful,"{""user"": ""Saiful"", ""pakan"": [{""kode"": ""324-AT"", ""jumlah"": 550}], ""catatan"": """", ""deplesi"": {""mati"": ""0"", ""afkir"": ""0"", ""total"": ""0""}, ""kandang"": ""TF 1"", ""tanggal"": ""2026-06-22"", ""produksi"": {""hdp"": ""92.69 %"", ""cream"": {""kilo"": ""1"", ""butir"": ""23""}, ""retak"": {""kilo"": ""0.7"", ""butir"": ""17""}, ""total"": {""kilo"": ""257.40"", ""butir"": ""4730""}, ""normal"": {""kilo"": ""255.7"", ""butir"": ""4690""}, ""berat_rata"": ""54.4 g""}, ""air_liter"": ""1345"", ""kesehatan"": {""obat"": [], ""vaksin"": [], ""vitamin"": []}, ""sisa_ayam"": ""5103"", ""harga_pasar"": 19500, ""pct_deplesi"": ""0.00 %""}",2026-06-22 08:51:57.576052+00,2026-06-22 08:51:57.576052+00
a3744473-2265-4fec-9c69-f2afb01d3234,2026-06-21,TF 1,Saiful,"{""user"": ""Saiful"", ""pakan"": [{""kode"": ""324-AT"", ""jumlah"": 550}], ""catatan"": ""Widecilin 200 gr/400 ltr air\nNopstres 200 gr/400 ltr air"", ""deplesi"": {""mati"": ""0"", ""afkir"": ""0"", ""total"": ""0""}, ""kandang"": ""TF 1"", ""tanggal"": ""2026-06-21"", ""produksi"": {""hdp"": ""92.65 %"", ""cream"": {""kilo"": ""0.9"", ""butir"": ""14""}, ""retak"": {""kilo"": ""0.5"", ""butir"": ""15""}, ""total"": {""kilo"": ""254.90"", ""butir"": ""4728""}, ""normal"": {""kilo"": ""253.5"", ""butir"": ""4699""}, ""berat_rata"": ""53.9 g""}, ""air_liter"": ""01269"", ""kesehatan"": {""obat"": [], ""vaksin"": [], ""vitamin"": []}, ""sisa_ayam"": ""5103"", ""harga_pasar"": 19800, ""pct_deplesi"": ""0.00 %""}",2026-06-21 10:42:19.365213+00,2026-06-21 10:42:19.365213+00
82ecf476-669c-4267-b46e-4b18b322184b,2026-06-20,TF 1,Afin,"{""user"": ""Afin"", ""pakan"": [{""kode"": ""324-AT"", ""jumlah"": 550}], ""catatan"": ""Widecilin 200gr/400ltr"", ""deplesi"": {""mati"": ""1"", ""afkir"": ""0"", ""total"": ""1""}, ""kandang"": ""TF 1"", ""tanggal"": ""2026-06-20"", ""produksi"": {""hdp"": ""91.95 %"", ""cream"": {""kilo"": ""0.8"", ""butir"": ""18""}, ""retak"": {""kilo"": ""1.2"", ""butir"": ""33""}, ""total"": {""kilo"": ""250.30"", ""butir"": ""4692""}, ""normal"": {""kilo"": ""248.3"", ""butir"": ""4641""}, ""berat_rata"": ""53.3 g""}, ""air_liter"": ""1223"", ""kesehatan"": {""obat"": [], ""vaksin"": [], ""vitamin"": [{""nama"": ""Nop-Stress"", ""jumlah"": 200, ""satuan"": ""ml"", ""supplier"": ""PT SHS 1""}]}, ""sisa_ayam"": ""5103"", ""harga_pasar"": 20000, ""pct_deplesi"": ""0.02 %""}",2026-06-20 09:25:22.516289+00,2026-06-20 09:25:22.516289+00
4822ce47-369c-46fc-b997-5b7e6fcd75b4,2026-06-19,TF 1,Afin,"{""user"": ""Afin"", ""pakan"": [{""kode"": ""324-AT"", ""jumlah"": 550}], ""catatan"": ""Widecilin 200gr/400ltr"", ""deplesi"": {""mati"": ""0"", ""afkir"": ""0"", ""total"": ""0""}, ""kandang"": ""TF 1"", ""tanggal"": ""2026-06-19"", ""produksi"": {""hdp"": ""91.20 %"", ""cream"": {""kilo"": ""1.1"", ""butir"": ""22""}, ""retak"": {""kilo"": ""0.5"", ""butir"": ""15""}, ""total"": {""kilo"": ""246.00"", ""butir"": ""4655""}, ""normal"": {""kilo"": ""244.4"", ""butir"": ""4618""}, ""berat_rata"": ""52.8 g""}, ""air_liter"": ""1228"", ""kesehatan"": {""obat"": [], ""vaksin"": [], ""vitamin"": [{""nama"": ""Nop-Stress"", ""jumlah"": 200, ""satuan"": ""ml"", ""supplier"": ""PT SHS 1""}]}, ""sisa_ayam"": ""5104"", ""harga_pasar"": 20000, ""pct_deplesi"": ""0.00 %""}",2026-06-19 09:28:06.324038+00,2026-06-19 09:28:06.324038+00
4393050b-50c7-4066-a627-d132a52ad935,2026-06-18,TF 1,Afin,"{""user"": ""Afin"", ""pakan"": [{""kode"": ""324-AT"", ""jumlah"": 525}], ""catatan"": ""Widecilin 200gr/400ltr"", ""deplesi"": {""mati"": ""0"", ""afkir"": ""0"", ""total"": ""0""}, ""kandang"": ""TF 1"", ""tanggal"": ""2026-06-18"", ""produksi"": {""hdp"": ""90.16 %"", ""cream"": {""kilo"": ""1.2"", ""butir"": ""24""}, ""retak"": {""kilo"": ""0.8"", ""butir"": ""24""}, ""total"": {""kilo"": ""238.50"", ""butir"": ""4602""}, ""normal"": {""kilo"": ""236.5"", ""butir"": ""4554""}, ""berat_rata"": ""51.8 g""}, ""air_liter"": ""1206"", ""kesehatan"": {""obat"": [], ""vaksin"": [], ""vitamin"": [{""nama"": ""Nop-Stress"", ""jumlah"": 200, ""satuan"": ""ml"", ""supplier"": ""PT SHS 1""}]}, ""sisa_ayam"": ""5104"", ""harga_pasar"": 20400, ""pct_deplesi"": ""0.00 %""}",2026-06-18 09:53:55.874049+00,2026-06-18 09:53:55.874049+00
54ebc0c3-3cde-4f5f-80d7-ba00359564aa,2026-06-17,TF 1,Afin,"{""user"": ""Afin"", ""pakan"": [{""kode"": ""324-AT"", ""jumlah"": 525}], ""catatan"": ""Widecilin 200gr/400ltr"", ""deplesi"": {""mati"": ""0"", ""afkir"": ""0"", ""total"": ""0""}, ""kandang"": ""TF 1"", ""tanggal"": ""2026-06-17"", ""produksi"": {""hdp"": ""89.22 %"", ""cream"": {""kilo"": ""1.3"", ""butir"": ""28""}, ""retak"": {""kilo"": ""0.5"", ""butir"": ""15""}, ""total"": {""kilo"": ""236.00"", ""butir"": ""4554""}, ""normal"": {""kilo"": ""234.2"", ""butir"": ""4511""}, ""berat_rata"": ""51.8 g""}, ""air_liter"": ""1277"", ""kesehatan"": {""obat"": [], ""vaksin"": [], ""vitamin"": [{""nama"": ""Nop-Stress"", ""jumlah"": 200, ""satuan"": ""ml"", ""supplier"": ""PT SHS 1""}]}, ""sisa_ayam"": ""5104"", ""harga_pasar"": 20600, ""pct_deplesi"": ""0.00 %""}",2026-06-17 09:35:05.97156+00,2026-06-17 09:35:05.97156+00
3e6ff629-7d12-4dce-aa8c-08698fb62dd2,2026-06-16,TF 1,Afin,"{""user"": ""Afin"", ""pakan"": [{""kode"": ""324-AT"", ""jumlah"": 525}], ""catatan"": ""Vitamin E 200gr/400ltr"", ""deplesi"": {""mati"": ""0"", ""afkir"": ""0"", ""total"": ""0""}, ""kandang"": ""TF 1"", ""tanggal"": ""2026-06-16"", ""produksi"": {""hdp"": ""86.01 %"", ""cream"": {""kilo"": ""1.3"", ""butir"": ""28""}, ""retak"": {""kilo"": ""0.7"", ""butir"": ""22""}, ""total"": {""kilo"": ""225.00"", ""butir"": ""4390""}, ""normal"": {""kilo"": ""223"", ""butir"": ""4340""}, ""berat_rata"": ""51.3 g""}, ""air_liter"": ""1162"", ""kesehatan"": {""obat"": [], ""vaksin"": [], ""vitamin"": []}, ""sisa_ayam"": ""5104"", ""harga_pasar"": 20800, ""pct_deplesi"": ""0.00 %""}",2026-06-16 10:12:03.915524+00,2026-06-16 10:12:03.915524+00
65c59638-3644-423f-97dd-7e1a04b6c13b,2026-06-15,TF 1,Afin,"{""user"": ""Afin"", ""pakan"": [{""kode"": ""324-AT"", ""jumlah"": 525}], ""catatan"": ""Vitamin E 200gr/400ltr"", ""deplesi"": {""mati"": ""0"", ""afkir"": ""0"", ""total"": ""0""}, ""kandang"": ""TF 1"", ""tanggal"": ""2026-06-15"", ""produksi"": {""hdp"": ""83.07 %"", ""cream"": {""kilo"": ""1.1"", ""butir"": ""23""}, ""retak"": {""kilo"": ""0.6"", ""butir"": ""17""}, ""total"": {""kilo"": ""215.5"", ""butir"": ""4240""}, ""normal"": {""kilo"": ""213.8"", ""butir"": ""4200""}, ""berat_rata"": ""50.8 g""}, ""air_liter"": ""1218"", ""kesehatan"": {""obat"": [], ""vaksin"": [], ""vitamin"": []}, ""sisa_ayam"": ""5104"", ""harga_pasar"": 21000, ""pct_deplesi"": ""0.00 %""}",2026-06-15 10:53:58.500983+00,2026-06-15 10:53:58.500983+00
